feature,offset,auc,p_two_sample,p_one_sample,median_event_z,median_control_z,q_two_sample,q_one_sample
atr_pct,-32,0.5556659548875632,3.6703899973590176e-12,0.02189509799554289,-0.19421781785440517,-0.45079883824191364,1.3425383733655444e-11,0.02983316141225366
atr_pct,-31,0.5560022326567622,2.7233993497869407e-12,0.12589937890853203,-0.1792440498879908,-0.4646977877970742,1.0069217055428474e-11,0.15671551441935563
atr_pct,-30,0.5550343429639725,6.398878935895603e-12,0.33058962135232617,-0.1726552041554169,-0.44281845581998996,2.285552580758534e-11,0.37908348869235725
atr_pct,-29,0.5551796952078224,5.633617666266103e-12,0.08055227061037341,-0.21093812768517192,-0.4827544291383968,2.0281023598557972e-11,0.103469958868536
atr_pct,-28,0.5550549835613074,6.284305223949506e-12,0.32146644554027803,-0.19839582024994507,-0.45930577594569016,2.250505116848933e-11,0.36986215096644265
atr_pct,-27,0.5538898507771619,1.7248897524284206e-11,0.37314308480296365,-0.18213594521717227,-0.46738197445246404,6.05038251621046e-11,0.42150921998647073
atr_pct,-26,0.5538649180929979,1.7621643452740582e-11,0.7789088306500271,-0.17116235440658406,-0.45106349932294587,6.165321801368061e-11,0.8011633686685993
atr_pct,-25,0.5537470544951315,1.9493224190028333e-11,0.31746215990903615,-0.19357126352492593,-0.4798208721989826,6.802737421418051e-11,0.365562487167981
atr_pct,-24,0.554069539715644,1.4781621731495524e-11,0.9864154356611586,-0.1534388977382303,-0.4475724193020493,5.211664569248937e-11,0.9885833816736007
atr_pct,-23,0.5531508402314563,3.237595955411617e-11,0.9661622267786013,-0.1808348387559844,-0.45170197720851574,1.118442239142195e-10,0.9718455339949461
atr_pct,-22,0.5552853094792329,5.134590376505059e-12,0.6258112870441539,-0.12245026663681638,-0.4366602743454424,1.8533297190129076e-11,0.666233339047784
atr_pct,-21,0.5590338927288866,1.7091290129305923e-13,0.7914539159587085,-0.12878662760597206,-0.4640887589160146,6.604769744884323e-13,0.8128445623359708
atr_pct,-20,0.560102091866669,6.231099559624208e-14,0.20001682667045662,-0.11457938800565551,-0.44031923385108984,2.435469770733119e-13,0.2385553782782778
atr_pct,-19,0.5619422879253374,1.0515581654444674e-14,0.09846070738256361,-0.05734344315087352,-0.44396910306806386,4.2941240905314365e-14,0.12483248164907045
atr_pct,-18,0.5623612245352658,6.96242994391248e-15,0.022202632800729833,-0.0669575341468967,-0.4153654003495156,2.8950164630006907e-14,0.0302220912153218
atr_pct,-17,0.564095082937103,1.2279683348892122e-15,0.05094216560965316,-0.07474506268441158,-0.43778768669234663,5.2992450540329405e-15,0.06713765178613249
atr_pct,-16,0.5632430313630018,2.8974321274406333e-15,0.011913083008536525,-0.04505715557861908,-0.41464632565154846,1.2386522344808706e-14,0.01668075491881061
atr_pct,-15,0.5606359503070868,3.738616669509578e-14,0.020982950451437467,-0.0587528891491874,-0.41423236090405746,1.486752210432879e-13,0.02861881975829158
atr_pct,-14,0.561676274993328,1.3643689778000934e-14,0.004950761676748608,-0.012128806280526074,-0.40035389294653745,5.5549308381860944e-14,0.007136609034554368
atr_pct,-13,0.5643539584662955,9.439595013761591e-16,0.01088729590536207,-0.023886965871787826,-0.4238875670036427,4.112536935931802e-15,0.015338641399109487
atr_pct,-12,0.5663598580119806,1.1875553668767743e-16,0.0004475527056065824,0.03869566653668127,-0.3950640847088873,5.309071051919697e-16,0.000711921047988145
atr_pct,-11,0.5673342099478613,4.242731052037094e-17,0.00019610087536013713,0.04213431724821704,-0.38658938200861376,1.9608297564820085e-16,0.00031974493145729157
atr_pct,-10,0.5668226317783986,7.296848794498069e-17,4.215891226593376e-05,0.04399038266259747,-0.35957824756984624,3.283581957524131e-16,7.236310160576835e-05
atr_pct,-9,0.5688348006643957,8.44903299399265e-18,0.000110267895033539,0.042154319074726034,-0.37173063770687975,4.0841968677674716e-17,0.00018218173962062967
atr_pct,-8,0.5691557908883723,5.9557660663372055e-18,4.571422413617317e-06,0.08239051084658056,-0.3415310666842389,2.909817135267606e-17,8.473856181339415e-06
atr_pct,-7,0.5760531261969014,2.213626850379851e-21,7.693540259301536e-08,0.10204358620342956,-0.3448698457633017,1.2996744769612172e-20,1.624191832519213e-07
atr_pct,-6,0.5804345270125137,1.0021045320739903e-23,3.4979995285072036e-10,0.13346788025496306,-0.34340284315455444,6.466410376779333e-23,8.395198868417288e-10
atr_pct,-5,0.5836778978844063,1.523017811126541e-25,1.1799981448023948e-09,0.08695860995225779,-0.3600381040682347,1.052266851323792e-24,2.731366264111127e-09
atr_pct,-4,0.5898063709422057,3.584369271037695e-29,2.0502077861153336e-14,0.17810195882639454,-0.3424852668363841,2.770292182361337e-28,5.992915067106359e-14
atr_pct,-3,0.5941897007856062,6.3764595208138e-32,1.233924048773951e-17,0.22972621839719962,-0.334702618294024,5.131174484984281e-31,3.962460325640294e-17
atr_pct,-2,0.6042142312674764,1.0722162507718423e-38,9.12590549993096e-25,0.26741655713141194,-0.32336852564787355,9.402511737537693e-38,3.3114691575346294e-24
atr_pct,-1,0.6118847209135644,2.4553290567721433e-44,1.2442699760616188e-26,0.27795646927293005,-0.3463133610584288,2.332562603933536e-43,4.6507140088860505e-26
atr_pct,0,0.6395599521099561,5.555193393559988e-68,7.409068402568899e-51,0.5140467105378698,-0.3127926519254818,6.785271930705414e-67,3.4357984999031373e-50
atr_pct,1,0.6806632904179306,1.2273612193294064e-112,2.0220153298533696e-90,0.8848461982998543,-0.31426838162309306,2.0229278892079855e-111,1.6464981971663153e-89
atr_pct,2,0.7189366002833549,1.766622376092517e-164,1.9017951035458742e-131,1.2596809116407617,-0.3121801993724608,4.096168492363667e-163,2.5506428447556428e-130
atr_pct,3,0.7504304866638111,1.453248033604305e-214,9.433457556555371e-161,1.511648742655577,-0.3329061244195697,4.321833282544977e-213,1.7923569357455205e-159
atr_pctile_480,-32,0.5743192063809944,1.7293751998094554e-20,0.04202632836751299,-0.06601398922536897,-0.4033408108930764,9.73574186559397e-20,0.05564425712512422
atr_pctile_480,-31,0.5759279795923014,2.5751490907279583e-21,0.009260537602262735,-0.04496605063177324,-0.4108198798715816,1.4864151713568975e-20,0.013127891647560024
atr_pctile_480,-30,0.5754012238136637,4.825222829753705e-21,0.0018886155046616586,-0.039675927028035005,-0.4003383695310039,2.7734894248332223e-20,0.0028579933743110054
atr_pctile_480,-29,0.5745787979569149,1.2752690123064675e-20,0.025980414076876717,-0.10457221077156537,-0.4393142350912158,7.208958714195237e-20,0.03515450688147117
atr_pctile_480,-28,0.5734048478702687,5.014778840746968e-20,0.0033632188432234093,-0.06744907594765959,-0.4100572458227134,2.711548400846582e-19,0.004947186427451209
atr_pctile_480,-27,0.5740815609527966,2.2834915927090738e-20,0.0018681287423410174,-0.01983796351401639,-0.3944373349472505,1.2698441052138264e-19,0.002830121948529913
atr_pctile_480,-26,0.5734335949121209,4.8506884727994427e-20,0.0002489395895186994,0.0,-0.37262583814256367,2.6332308852339834e-19,0.00040254061283874796
atr_pctile_480,-25,0.5738038336591974,3.156359938492255e-20,0.00361881098287952,-0.06400277279704922,-0.42794647992770835,1.7410888692973408e-19,0.005300356985630817
atr_pctile_480,-24,0.5737612436626278,3.3166752230377725e-20,0.00011351267523850588,0.03126778355189515,-0.38032474293097507,1.8221733755484628e-19,0.0001873164532283185
atr_pctile_480,-23,0.5726958667155945,1.1347712300028463e-19,7.56719825306773e-05,-1.7280811640026717e-16,-0.386005574522972,6.016926521875558e-19,0.0001273299779851987
atr_pctile_480,-22,0.5732806471441454,5.789291279035683e-20,7.399655097640455e-06,0.008126394692489072,-0.35914443037065485,3.1134506305840797e-19,1.3443198105673496e-05
atr_pctile_480,-21,0.5762821566532423,1.6841636314703814e-21,4.051536305978521e-05,0.03946488486299213,-0.3959549724910671,9.973748259097324e-21,6.962941792184192e-05
atr_pctile_480,-20,0.5761787927091327,1.9067401794243567e-21,3.6348312714773645e-07,0.07820182718569219,-0.34130682947278057,1.1243192092467758e-20,7.344828920799165e-07
atr_pctile_480,-19,0.5793684120558534,3.835767487616445e-23,9.954853981300788e-09,0.14988683543924325,-0.3417218259707592,2.440618568864789e-22,2.1929533408082897e-08
atr_pctile_480,-18,0.579036663475552,5.800621933470993e-23,5.059442259842723e-10,0.13835707886699403,-0.31236425077848035,3.606932184085599e-22,1.2058043573980565e-09
atr_pctile_480,-17,0.5805217665269444,8.987469234471728e-24,5.812653680316264e-09,0.12516323371730623,-0.3372453797382976,5.82694687808404e-23,1.284605853743562e-08
atr_pctile_480,-16,0.5791879230783181,4.804712516686174e-23,9.246058780763448e-11,0.16237740505918025,-0.3065867088529978,3.042984593901243e-22,2.2627206461689438e-10
